Delhi,Mumbai,1436
Delhi,Chennai,2183
Delhi,Kolkata,1469
Delhi,Bangalore,2147
Delhi,Hyderabad,1559
Delhi,Ahmedabad,938
Delhi,Surat,1184
Delhi,Pune,1471
Delhi,Jaipur,235
Delhi,Lucknow,527
Delhi,Kanpur,474
Delhi,Nagpur,1066
Delhi,Indore,906
Delhi,Thane,1423
Delhi,Bhopal,842
Delhi,Visakhapatnam,2206
Delhi,Patna,1142
Delhi,Vadodara,1025
Delhi,Ludhiana,320
Mumbai,Chennai,1334
Mumbai,Kolkata,1977
Mumbai,Bangalore,982
Mumbai,Hyderabad,700
Mumbai,Ahmedabad,522
Mumbai,Surat,278
Mumbai,Pune,148
Mumbai,Jaipur,1180
Mumbai,Lucknow,1371
Mumbai,Kanpur,1288
Mumbai,Nagpur,844
Mumbai,Indore,583
Mumbai,Thane,23
Mumbai,Bhopal,774
Mumbai,Visakhapatnam,1370
Mumbai,Patna,1851
Mumbai,Vadodara,418
Mumbai,Ludhiana,1745
Chennai,Kolkata,1706
Chennai,Bangalore,348
Chennai,Hyderabad,625
Chennai,Ahmedabad,1839
Chennai,Surat,1595
Chennai,Pune,1188
Chennai,Jaipur,2195
Chennai,Lucknow,2050
Chennai,Kanpur,1877
Chennai,Nagpur,1120
Chennai,Indore,1581
Chennai,Thane,1335
Chennai,Bhopal,1476
Chennai,Visakhapatnam,827
Chennai,Patna,2141
Chennai,Vadodara,1726
Chennai,Ludhiana,2517
Kolkata,Bangalore,1915
Kolkata,Hyderabad,1530
Kolkata,Ahmedabad,2083
Kolkata,Surat,1880
Kolkata,Pune,1862
Kolkata,Jaipur,1529
Kolkata,Lucknow,1072
Kolkata,Kanpur,1003
Kolkata,Nagpur,1116
Kolkata,Indore,1697
Kolkata,Thane,1953
Kolkata,Bhopal,1620
Kolkata,Visakhapatnam,883
Kolkata,Patna,582
Kolkata,Vadodara,2181
Kolkata,Ludhiana,1805
Bangalore,Hyderabad,567
Bangalore,Ahmedabad,1485
Bangalore,Surat,1241
Bangalore,Pune,835
Bangalore,Jaipur,2144
Bangalore,Lucknow,2015
Bangalore,Kanpur,1930
Bangalore,Nagpur,1086
Bangalore,Indore,1467
Bangalore,Thane,982
Bangalore,Bhopal,1436
Bangalore,Visakhapatnam,1038
Bangalore,Patna,2058
Bangalore,Vadodara,1373
Bangalore,Ludhiana,2482
Hyderabad,Ahmedabad,1218
Hyderabad,Surat,974
Hyderabad,Pune,554
Hyderabad,Jaipur,1575
Hyderabad,Lucknow,1427
Hyderabad,Kanpur,1245
Hyderabad,Nagpur,500
Hyderabad,Indore,961
Hyderabad,Thane,714
Hyderabad,Bhopal,855
Hyderabad,Visakhapatnam,651
Hyderabad,Patna,1473
Hyderabad,Vadodara,1105
Hyderabad,Ludhiana,1896
Ahmedabad,Surat,271
Ahmedabad,Pune,660
Ahmedabad,Jaipur,683
Ahmedabad,Lucknow,1174
Ahmedabad,Kanpur,1089
Ahmedabad,Nagpur,845
Ahmedabad,Indore,389
Ahmedabad,Thane,509
Ahmedabad,Bhopal,578
Ahmedabad,Visakhapatnam,1883
Ahmedabad,Patna,1655
Ahmedabad,Vadodara,111
Ahmedabad,Ludhiana,1247
Surat,Pune,413
Surat,Jaipur,927
Surat,Lucknow,1428
Surat,Kanpur,1343
Surat,Nagpur,751
Surat,Indore,493
Surat,Thane,262
Surat,Bhopal,678
Surat,Visakhapatnam,1636
Surat,Patna,1908
Surat,Vadodara,158
Surat,Ludhiana,1496
Pune,Jaipur,1215
Pune,Lucknow,1415
Pune,Kanpur,1297
Pune,Nagpur,734
Pune,Indore,628
Pune,Thane,152
Pune,Bhopal,819
Pune,Visakhapatnam,1224
Pune,Patna,1896
Pune,Vadodara,543
Pune,Ludhiana,1781
Jaipur,Lucknow,581
Jaipur,Kanpur,510
Jaipur,Nagpur,1071
Jaipur,Indore,651
Jaipur,Thane,1167
Jaipur,Bhopal,592
Jaipur,Visakhapatnam,1888
Jaipur,Patna,1195
Jaipur,Vadodara,770
Jaipur,Ludhiana,570
Lucknow,Kanpur,106
Lucknow,Nagpur,934
Lucknow,Indore,786
Lucknow,Thane,1351
Lucknow,Bhopal,709
Lucknow,Visakhapatnam,1809
Lucknow,Patna,603
Lucknow,Vadodara,1268
Lucknow,Ludhiana,864
Kanpur,Nagpur,809
Kanpur,Indore,693
Kanpur,Thane,1267
Kanpur,Bhopal,550
Kanpur,Visakhapatnam,1738
Kanpur,Patna,620
Kanpur,Vadodara,998
Kanpur,Ludhiana,800
Nagpur,Indore,456
Nagpur,Thane,824
Nagpur,Bhopal,351
Nagpur,Visakhapatnam,1149
Nagpur,Patna,976
Nagpur,Vadodara,795
Nagpur,Ludhiana,1400
Indore,Thane,563
Indore,Bhopal,190
Indore,Visakhapatnam,1296
Indore,Patna,1266
Indore,Vadodara,339
Indore,Ludhiana,1215
Thane,Bhopal,755
Thane,Visakhapatnam,1377
Thane,Patna,1831
Thane,Vadodara,391
Thane,Ludhiana,1728
Bhopal,Visakhapatnam,1504
Bhopal,Patna,1190
Bhopal,Vadodara,529
Bhopal,Ludhiana,1177
Visakhapatnam,Patna,1317
Visakhapatnam,Vadodara,1765
Visakhapatnam,Ludhiana,2540
Patna,Vadodara,1749
Patna,Ludhiana,1374
Vadodara,Ludhiana,1335
Delhi,Delhi,0
Mumbai,Mumbai,0
Chennai,Chennai,0
Kolkata,Kolkata,0
Bangalore,Bangalore,0
Hyderabad,Hyderabad,0
Ahmedabad,Ahmedabad,0
Surat,Surat,0
Pune,Pune,0
Jaipur,Jaipur,0
Lucknow,Lucknow,0
Kanpur,Kanpur,0
Nagpur,Nagpur,0
Indore,Indore,0
Thane,Thane,0
Bhopal,Bhopal,0
Visakhapatnam,Visakhapatnam,0
Patna,Patna,0
Vadodara,Vadodara,0
Ludhiana,Ludhiana,0
